127.0.0.1 - - [19/May/2014:00:56:24 +0530] "GET /jenkins HTTP/1.1" 302 -
127.0.0.1 - - [19/May/2014:00:56:27 +0530] "GET /jenkins/ HTTP/1.1" 503 1638
127.0.0.1 - - [19/May/2014:00:56:27 +0530] "GET /jenkins/static/ddcca3fd/css/style.css HTTP/1.1" 200 5946
127.0.0.1 - - [19/May/2014:00:56:27 +0530] "GET /jenkins/static/ddcca3fd/css/color.css HTTP/1.1" 200 763
127.0.0.1 - - [19/May/2014:00:56:27 +0530] "GET /jenkins/static/ddcca3fd/scripts/prototype.js HTTP/1.1" 200 37923
127.0.0.1 - - [19/May/2014:00:56:27 +0530] "GET /jenkins/static/ddcca3fd/scripts/behavior.js HTTP/1.1" 200 2360
127.0.0.1 - - [19/May/2014:00:56:27 +0530] "GET /jenkins/adjuncts/ddcca3fd/org/kohsuke/stapler/bind.js HTTP/1.1" 503 1638
127.0.0.1 - - [19/May/2014:00:56:28 +0530] "GET /jenkins/static/ddcca3fd/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
127.0.0.1 - - [19/May/2014:00:56:28 +0530] "GET /jenkins/static/ddcca3fd/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
127.0.0.1 - - [19/May/2014:00:56:28 +0530] "GET /jenkins/static/ddcca3fd/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
127.0.0.1 - - [19/May/2014:00:56:28 +0530] "GET /jenkins/static/ddcca3fd/scripts/yui/event/event-min.js HTTP/1.1" 200 5146
127.0.0.1 - - [19/May/2014:00:56:28 +0530] "GET /jenkins/static/ddcca3fd/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 200 6974
127.0.0.1 - - [19/May/2014:00:56:28 +0530] "GET /jenkins/static/ddcca3fd/scripts/yui/datasource/datasource-min.js HTTP/1.1" 200 8248
127.0.0.1 - - [19/May/2014:00:56:28 +0530] "GET /jenkins/static/ddcca3fd/scripts/yui/container/container-min.js HTTP/1.1" 200 19888
127.0.0.1 - - [19/May/2014:00:56:28 +0530] "GET /jenkins/static/ddcca3fd/scripts/yui/menu/menu-min.js HTTP/1.1" 200 15901
